kod_nadzsj_d,Obyvatelstvo celkem,Obyvatelstvo celkem - muži,Obyvatelstvo celkem - ženy,Obyvatelstvo - rodinný stav: svobodní  - celkem,Obyvatelstvo - rodinný stav: svobodní  - muži,Obyvatelstvo - rodinný stav: svobodní  - ženy,"Obyvatelstvo - rodinný stav: ženatí, vdané - celkem","Obyvatelstvo - rodinný stav: ženatí, vdané - muži","Obyvatelstvo - rodinný stav: ženatí, vdané - ženy",Obyvatelstvo - rodinný stav: rozvedení - celkem,Obyvatelstvo - rodinný stav: rozvedení - muži,Obyvatelstvo - rodinný stav: rozvedení - ženy,Obyvatelstvo - rodinný stav: ovdovělí - celkem,Obyvatelstvo - rodinný stav: ovdovělí - muži,Obyvatelstvo - rodinný stav: ovdovělí - ženy,Obyvatelstvo - rodinný stav: nezjištěno - celkem,Obyvatelstvo - rodinný stav: nezjištěno - muži,Obyvatelstvo - rodinný stav: nezjištěno - ženy
1270600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50005401,977,500,477,445,254,191,340,181,159,117,52,65,66,8,58,9,5,4
50005402,1895,973,922,929,515,414,583,305,278,249,120,129,99,17,82,33,14,19
50005403,1691,885,806,807,441,366,464,251,213,261,146,115,106,19,87,51,26,25
50005404,2686,1408,1278,1402,787,615,733,375,358,358,175,183,120,24,96,65,39,26
50005405,2343,1146,1197,1246,642,604,644,323,321,278,120,158,85,12,73,78,44,34
50005407,3178,1598,1580,1689,885,804,900,450,450,375,189,186,133,26,107,69,36,33
50005408,4365,2377,1988,2435,1400,1035,1021,536,485,597,332,265,183,31,152,120,69,51
50005409,1655,860,795,897,488,409,405,213,192,201,88,113,70,17,53,75,47,28
50005411,1377,638,739,712,333,379,393,196,197,172,81,91,74,15,59,19,6,13
50005412,2101,1058,1043,1009,549,460,689,346,343,264,123,141,97,15,82,35,20,15
50005413,28,16,12,13,9,4,5,3,2,5,2,3,3,0,3,0,0,0
50005414,90,51,39,42,27,15,38,20,18,6,3,3,3,0,3,1,1,0
50005416,581,314,267,289,171,118,192,93,99,53,31,22,32,6,26,10,8,2
1318060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3174620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50022401,42,6,36,3,0,3,2,1,1,8,0,8,29,5,24,0,0,0
50022402,2058,1008,1050,1113,588,525,604,298,306,200,85,115,73,5,68,65,29,36
50022404,1094,538,556,506,257,249,420,215,205,102,45,57,47,8,39,14,8,6
50022405,541,265,276,350,175,175,113,60,53,54,19,35,12,4,8,11,7,4
50022406,918,427,491,424,227,197,286,141,145,126,47,79,72,6,66,10,6,4
50022407,333,177,156,190,109,81,116,58,58,15,5,10,2,0,2,10,5,5
50022408,5734,2776,2958,3071,1610,1461,1493,751,742,749,297,452,304,54,250,93,49,44
50022409,97,56,41,46,35,11,34,16,18,12,4,8,5,1,4,0,0,0
50022410,316,152,164,133,70,63,117,59,58,40,18,22,25,4,21,1,1,0
50022411,4429,2040,2389,2304,1149,1155,1263,632,631,575,200,375,223,31,192,55,21,34
50022413,5328,2506,2822,2624,1363,1261,1601,802,799,679,257,422,376,66,310,38,12,26
50022414,3086,1765,1321,1477,943,534,763,381,382,619,390,229,208,40,168,18,11,7
50022415,3828,1808,2020,2042,1053,989,1030,511,519,451,181,270,249,34,215,46,21,25
50022416,4829,2317,2512,2531,1297,1234,1297,660,637,653,267,386,260,38,222,81,48,33
50022417,2265,1050,1215,1039,521,518,749,375,374,262,112,150,186,27,159,25,11,14
50022418,2828,1423,1405,1736,942,794,668,331,337,259,97,162,80,12,68,78,34,44
50022419,3736,1765,1971,2040,1021,1019,1071,529,542,402,154,248,133,15,118,76,34,42
50022421,27,22,5,14,12,2,5,3,2,8,7,1,0,0,0,0,0,0
50022422,2798,1314,1484,1139,618,521,1117,555,562,300,91,209,225,43,182,17,7,10
50022424,156,87,69,90,52,38,21,11,10,31,19,12,9,2,7,5,3,2
50022425,250,125,125,104,62,42,101,51,50,25,7,18,19,4,15,1,1,0
50022426,1219,593,626,648,340,308,391,189,202,127,48,79,27,4,23,26,12,14
50022427,4497,2170,2327,2194,1173,1021,1452,727,725,539,212,327,272,42,230,36,14,22
50022428,2945,1407,1538,1371,723,648,996,504,492,334,137,197,219,30,189,24,12,12
50022429,1436,643,793,683,334,349,444,226,218,164,58,106,132,20,112,11,5,6
50022430,3908,1844,2064,1704,920,784,1531,755,776,379,124,255,269,30,239,19,11,8
50022431,1077,483,594,463,223,240,373,184,189,141,52,89,98,22,76,2,2,0
50022432,4072,1927,2145,2070,1089,981,1127,553,574,603,225,378,216,29,187,44,19,25
50022433,2303,1107,1196,1122,595,527,695,349,346,297,123,174,163,25,138,17,7,10
50022434,4594,2192,2402,2224,1167,1057,1440,727,713,603,219,384,261,39,222,59,33,26
50022436,1194,573,621,535,285,250,431,212,219,136,53,83,85,19,66,6,3,3
50022437,4021,1882,2139,1699,901,798,1515,755,760,459,169,290,320,44,276,26,11,15
50022438,2118,1001,1117,934,490,444,799,396,403,211,80,131,163,28,135,9,5,4
50022439,165,128,37,67,54,13,25,21,4,63,47,16,3,1,2,7,5,2
50022440,7519,3399,4120,3478,1796,1682,2294,1132,1162,978,337,641,686,98,588,74,30,44
50022441,580,263,317,285,144,141,166,81,85,102,29,73,26,8,18,1,1,0
50022442,2849,1268,1581,1193,604,589,988,496,492,345,116,229,300,41,259,17,7,10
50022443,117,77,40,59,45,14,11,5,6,34,23,11,9,2,7,4,2,2
50022444,2041,993,1048,1112,556,556,639,323,316,211,94,117,54,5,49,22,13,9
50022445,4424,2071,2353,1973,1044,929,1426,723,703,556,202,354,424,79,345,40,20,20
50022446,74,43,31,31,20,11,27,15,12,12,5,7,3,2,1,1,1,0
50022447,4492,2158,2334,1937,1042,895,1613,803,810,559,239,320,360,58,302,23,16,7
50022448,5487,2717,2770,2640,1408,1232,1837,937,900,662,293,369,293,49,244,43,20,23
50022449,121,51,70,52,22,30,37,17,20,15,5,10,15,5,10,2,2,0
50022450,2398,1080,1318,959,488,471,900,447,453,289,105,184,233,33,200,15,5,10
50022451,3274,1548,1726,1418,754,664,1087,544,543,455,190,265,288,48,240,22,12,10
50022452,615,310,305,352,183,169,157,81,76,78,39,39,19,3,16,9,4,5
50022453,1888,889,999,892,467,425,655,318,337,212,73,139,101,15,86,22,12,10
50022454,54,28,26,22,12,10,24,13,11,6,3,3,2,0,2,0,0,0
50022455,202,104,98,97,56,41,56,31,25,37,15,22,10,2,8,2,0,2
1282440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3157700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54703402,2799,1386,1413,1375,700,675,1033,523,510,309,138,171,64,15,49,16,8,8
54703403,1023,457,566,452,226,226,321,160,161,163,59,104,80,9,71,6,2,4
54703404,5267,2484,2783,2205,1191,1014,1944,970,974,662,230,432,428,75,353,26,18,8
54703405,1873,934,939,753,423,330,819,413,406,155,64,91,138,31,107,8,3,5
54703407,7674,3527,4147,3152,1643,1509,2900,1445,1455,1003,312,691,560,96,464,54,29,25
54703408,4893,2300,2593,1970,1077,893,1858,920,938,664,225,439,368,57,311,29,18,11
54703409,5651,2739,2912,2238,1241,997,2342,1173,1169,684,244,440,346,58,288,40,22,18
54703410,5529,2660,2869,2231,1233,998,2305,1138,1167,671,212,459,287,53,234,33,24,9
54703411,108,51,57,52,28,24,37,19,18,12,2,10,5,0,5,1,1,0
54703412,323,221,102,120,79,41,143,104,39,55,37,18,4,0,4,1,1,0
54703413,5984,2849,3135,2551,1360,1191,2221,1102,1119,785,282,503,379,78,301,41,22,19
54703414,2979,1453,1526,1305,703,602,1153,582,571,351,124,227,148,28,120,19,14,5
54703415,4123,1909,2214,1691,875,816,1523,757,766,596,206,390,287,56,231,24,15,9
54703417,1817,819,998,687,369,318,690,340,350,178,68,110,256,41,215,6,1,5
54703418,5336,2720,2616,2313,1333,980,1753,870,883,898,431,467,334,66,268,35,18,17
54703419,2042,1007,1035,1122,576,546,757,378,379,125,40,85,20,2,18,17,11,6
54703420,4899,2314,2585,1984,1083,901,1813,911,902,710,252,458,356,52,304,28,14,14
54703421,6262,3040,3222,2561,1394,1167,2522,1261,1261,744,271,473,388,83,305,40,25,15
54703422,3520,1576,1944,1314,687,627,1375,686,689,406,136,270,401,58,343,21,9,12
1284490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3158000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3158420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3161720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3162700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3162880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3163180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3298270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54710701,73,35,38,33,16,17,29,15,14,10,4,6,1,0,1,0,0,0
54710702,22,13,9,6,5,1,11,6,5,1,1,0,4,1,3,0,0,0
54710703,1038,531,507,546,294,252,365,183,182,92,41,51,30,9,21,2,2,0
54710707,870,416,454,355,192,163,376,187,189,78,28,50,60,8,52,1,1,0
54710708,4595,2153,2442,1813,1002,811,1720,848,872,666,228,438,366,55,311,24,15,9
54710710,3234,1492,1742,1315,697,618,1219,602,617,441,155,286,244,32,212,10,4,6
54710711,5021,2370,2651,2198,1160,1038,1838,910,928,652,230,422,295,53,242,33,15,18
54710712,974,463,511,419,219,200,354,177,177,135,51,84,60,14,46,4,0,4
54710713,5305,2477,2828,2218,1148,1070,2052,1026,1026,680,236,444,331,51,280,24,16,8
54710714,26,13,13,7,4,3,16,8,8,0,0,0,3,1,2,0,0,0
54710715,1304,633,671,739,370,369,467,229,238,81,29,52,9,1,8,6,3,3
54710716,513,239,274,228,108,120,206,99,107,49,25,24,30,7,23,0,0,0
54710717,2028,953,1075,802,423,379,817,409,408,220,92,128,187,28,159,2,1,1
54710718,4427,2161,2266,1969,1050,919,1695,847,848,518,209,309,217,45,172,21,10,11
54710719,335,165,170,132,73,59,141,71,70,36,15,21,25,5,20,1,1,0
54710720,173,89,84,110,65,45,51,22,29,10,2,8,1,0,1,1,0,1
54710721,506,250,256,203,115,88,205,102,103,57,27,30,40,5,35,1,1,0
54710722,146,75,71,65,38,27,59,30,29,16,6,10,6,1,5,0,0,0
54710723,4802,2284,2518,2067,1084,983,1832,913,919,635,229,406,229,34,195,30,18,12
54710724,2639,1475,1164,1235,757,478,878,448,430,385,230,155,122,29,93,12,6,6
54710725,5598,2682,2916,2340,1240,1100,2233,1122,1111,685,252,433,309,51,258,27,16,11
54710726,4864,2422,2442,1988,1110,878,1865,965,900,609,230,379,322,59,263,75,54,21
54710728,677,345,332,372,184,188,218,118,100,63,33,30,11,2,9,10,5,5
54710729,2831,1342,1489,1467,722,745,976,485,491,256,103,153,105,16,89,21,11,10
54710730,731,379,352,425,234,191,234,116,118,57,23,34,9,3,6,5,2,3
54710731,1974,965,1009,833,432,401,811,410,401,203,90,113,117,28,89,9,5,4
54710734,1854,896,958,791,428,363,710,361,349,224,83,141,124,22,102,5,2,3
54710735,31,18,13,21,12,9,8,4,4,2,2,0,0,0,0,0,0,0
3163690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3168900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3169030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3205520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53969401,38,19,19,17,8,9,18,9,9,3,2,1,0,0,0,0,0,0
53969402,4950,2333,2617,2169,1148,1021,1864,916,948,672,208,464,211,40,171,32,21,11
53969403,97,46,51,37,18,19,53,26,27,4,1,3,3,1,2,0,0,0
53969404,5275,2689,2586,2626,1455,1171,1699,846,853,715,322,393,179,32,147,53,32,21
53969405,6011,2871,3140,2419,1269,1150,2489,1248,1241,752,263,489,290,59,231,46,24,22
53969406,2805,1392,1413,1460,765,695,975,479,496,277,121,156,65,11,54,23,13,10
53969407,1901,906,995,1096,542,554,590,293,297,160,50,110,28,6,22,24,13,11
53969408,4452,2068,2384,1800,938,862,1766,879,887,565,193,372,300,48,252,18,8,10
53969410,335,173,162,175,102,73,118,58,60,32,12,20,9,1,8,1,0,1
53969411,391,321,70,122,98,24,205,173,32,38,28,10,3,2,1,23,20,3
53969412,4523,2184,2339,2024,1092,932,1721,849,872,543,197,346,184,24,160,44,17,27
53969413,10255,4894,5361,4733,2480,2253,3873,1913,1960,1246,398,848,323,60,263,70,35,35
53969414,689,328,361,366,189,177,241,118,123,48,13,35,23,3,20,6,2,4
53969415,171,86,85,86,45,41,72,36,36,9,4,5,2,1,1,2,0,2
53969416,2294,1149,1145,970,533,437,1026,510,516,171,76,95,116,23,93,10,7,3
53969417,1098,557,541,477,259,218,438,222,216,100,48,52,67,16,51,13,9,4
53969419,5969,2854,3115,2376,1260,1116,2519,1244,1275,699,264,435,336,65,271,37,21,16
53969420,4802,2386,2416,2378,1295,1083,1731,857,874,494,167,327,134,23,111,56,36,20
53969421,2914,1444,1470,1487,778,709,1022,528,494,288,95,193,66,11,55,49,30,19
53969422,565,272,293,222,115,107,257,131,126,45,16,29,34,7,27,5,2,3
53969423,145,74,71,61,34,27,63,32,31,13,6,7,8,2,6,0,0,0
53969424,441,229,212,170,105,65,203,101,102,35,16,19,29,3,26,2,2,0
53969425,30,15,15,15,7,8,12,6,6,3,2,1,0,0,0,0,0,0
53969426,38,30,8,21,18,3,14,10,4,2,1,1,1,1,0,0,0,0
1316610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1316950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3065250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3170120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3170550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3172090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54736101,251,126,125,116,60,56,111,54,57,17,7,10,6,4,2,1,1,0
54736102,266,129,137,121,64,57,101,51,50,30,12,18,12,1,11,2,1,1
54736103,173,91,82,111,62,49,35,15,20,20,10,10,2,1,1,5,3,2
54736104,3913,1897,2016,1812,1004,808,1306,646,660,554,186,368,205,38,167,29,17,12
54736105,3670,1841,1829,1788,1007,781,1043,543,500,496,203,293,269,47,222,64,36,28
54736106,2255,1132,1123,984,543,441,805,408,397,277,133,144,166,40,126,19,6,13
54736109,138,70,68,82,43,39,43,22,21,10,5,5,2,0,2,1,0,1
54736110,51,29,22,29,16,13,16,9,7,6,4,2,0,0,0,0,0,0
54736111,5960,2968,2992,2715,1495,1220,2250,1117,1133,760,288,472,191,42,149,38,21,17
54736112,3570,1675,1895,1701,903,798,1088,534,554,655,211,444,107,20,87,12,5,7
54736113,718,360,358,382,196,186,223,125,98,90,32,58,18,3,15,5,4,1
54736114,6778,3252,3526,3117,1605,1512,2496,1255,1241,895,315,580,204,37,167,55,32,23
54736115,1050,518,532,580,293,287,358,183,175,80,36,44,18,2,16,14,4,10
54736116,4390,2324,2066,1878,1144,734,1520,768,752,694,346,348,257,48,209,38,16,22
54736117,43,24,19,10,6,4,22,13,9,9,4,5,1,0,1,1,1,0
54736118,3015,1521,1494,1463,795,668,1111,564,547,289,123,166,118,23,95,30,14,16
54736119,283,139,144,150,82,68,95,46,49,26,9,17,12,2,10,0,0,0
54736120,208,179,29,69,59,10,122,109,13,9,5,4,3,2,1,5,4,1
54736121,1394,710,684,627,349,278,553,279,274,145,61,84,56,13,43,13,8,5
54736122,1605,820,785,914,488,426,495,247,248,158,71,87,19,5,14,19,9,10
54736123,2247,1131,1116,964,528,436,924,461,463,248,120,128,101,18,83,8,3,5
54736124,49,44,5,7,7,0,37,32,5,2,2,0,0,0,0,3,3,0
54736125,1187,575,612,505,262,243,486,244,242,113,50,63,78,15,63,4,3,1
54736126,2478,1239,1239,1283,693,590,901,453,448,192,73,119,87,15,72,14,5,9
54736127,1322,642,680,623,318,305,525,266,259,107,45,62,54,8,46,11,3,8
1318650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3060450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3174200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54738701,58,32,26,24,16,8,21,11,10,6,4,2,3,0,3,2,1,1
54738702,1915,928,987,832,429,403,758,380,378,203,91,112,111,21,90,11,7,4
54738703,138,74,64,59,38,21,50,25,25,21,9,12,6,1,5,2,1,1
54738704,68,43,25,22,16,6,33,18,15,9,8,1,4,1,3,0,0,0
54738705,184,112,72,80,50,30,53,32,21,30,14,16,2,0,2,19,16,3
54738707,3899,1851,2048,1863,948,915,1382,694,688,404,163,241,219,29,190,30,16,14
54738708,4949,2366,2583,2076,1121,955,1885,953,932,566,195,371,359,62,297,52,28,24
54738709,509,257,252,212,118,94,222,116,106,46,20,26,29,3,26,0,0,0
54738710,1551,746,805,691,355,336,618,310,308,154,66,88,77,10,67,10,4,6
54738711,3488,1662,1826,1471,757,714,1368,691,677,415,158,257,216,47,169,12,5,7
54738713,2402,1186,1216,1311,673,638,830,415,415,201,76,125,31,4,27,25,14,11
54738714,5140,2455,2685,2444,1266,1178,1864,931,933,648,218,430,155,24,131,23,13,10
54738715,1805,882,923,1033,523,510,556,278,278,167,71,96,31,2,29,13,6,7
54738716,3458,1774,1684,1596,910,686,1187,594,593,505,240,265,159,27,132,10,3,7
54738717,161,86,75,91,51,40,62,33,29,6,2,4,2,0,2,0,0,0
54738719,5442,2515,2927,2431,1245,1186,1958,969,989,718,232,486,307,55,252,25,13,12
3061850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53960102,40,26,14,15,10,5,13,10,3,6,4,2,2,1,1,4,1,3
53960103,5585,2784,2801,2404,1312,1092,2188,1106,1082,617,283,334,335,54,281,36,26,10
53960104,21,11,10,11,6,5,5,2,3,4,3,1,1,0,1,0,0,0
53960106,27,12,15,13,7,6,10,4,6,2,1,1,2,0,2,0,0,0
53960107,184,100,84,77,50,27,67,34,33,27,12,15,11,3,8,2,1,1
53960108,2095,1019,1076,940,494,446,761,385,376,259,116,143,130,20,110,3,2,1
53960110,510,295,215,234,147,87,176,92,84,74,49,25,23,6,17,2,1,1
54717401,6045,2850,3195,2569,1363,1206,2353,1167,1186,786,247,539,313,62,251,23,10,13
54717402,45,30,15,16,7,9,11,8,3,16,15,1,2,0,2,0,0,0
54717403,2007,959,1048,858,447,411,816,407,409,181,75,106,144,26,118,8,4,4
54717404,798,363,435,350,163,187,321,157,164,82,33,49,39,8,31,4,0,4
54717405,7203,3524,3679,3231,1796,1435,2544,1240,1304,1061,410,651,328,53,275,34,20,14
54717406,595,297,298,287,150,137,252,129,123,36,13,23,17,3,14,3,2,1
54717407,5768,2792,2976,2543,1355,1188,2122,1058,1064,727,278,449,321,69,252,46,26,20
1311720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1314400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54741701,54,26,28,15,9,6,26,13,13,5,2,3,8,2,6,0,0,0
54741702,377,207,170,216,131,85,135,66,69,21,9,12,2,1,1,1,0,1
54741703,325,150,175,183,92,91,101,47,54,31,10,21,6,0,6,4,1,3
54741704,10945,5319,5626,5034,2649,2385,3998,2017,1981,1240,465,775,561,120,441,92,55,37
54741705,3822,1921,1901,1711,939,772,1413,719,694,497,217,280,184,35,149,17,11,6
54741706,4358,2158,2200,2508,1271,1237,1413,721,692,329,135,194,50,8,42,56,23,33
54741707,29,21,8,19,16,3,7,4,3,2,0,2,1,1,0,0,0,0
54741708,1668,808,860,932,481,451,537,262,275,145,54,91,36,6,30,16,5,11
54741709,124,62,62,49,24,25,53,27,26,17,10,7,4,0,4,1,1,0
1311990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3170390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54734401,230,110,120,108,59,49,84,43,41,22,6,16,16,2,14,0,0,0
54734402,860,440,420,356,191,165,347,176,171,110,57,53,45,14,31,0,0,0
54734404,205,106,99,134,72,62,54,29,25,10,4,6,2,0,2,5,1,4
54734405,21,10,11,5,3,2,10,5,5,2,0,2,4,2,2,0,0,0
54734406,2535,1247,1288,1140,604,536,1013,519,494,221,97,124,147,20,127,13,6,7
54734407,3365,1632,1733,1661,869,792,1105,565,540,399,157,242,180,33,147,19,7,12
1272300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3057910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3058040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50008901,1651,821,830,910,482,428,451,225,226,193,88,105,61,7,54,31,14,17
50008902,685,355,330,380,203,177,180,99,81,78,26,52,22,9,13,25,18,7
50008903,2662,1286,1376,1413,737,676,671,335,336,354,153,201,137,20,117,80,34,46
50008904,1497,779,718,879,486,393,345,171,174,143,69,74,57,13,44,69,36,33
50008905,2606,1294,1312,1341,724,617,773,398,375,320,119,201,101,12,89,64,37,27
50008906,2950,1479,1471,1500,802,698,835,424,411,349,160,189,145,23,122,115,66,49
50008907,1944,942,1002,1079,551,528,523,260,263,232,92,140,75,17,58,29,19,10
50008908,4353,2215,2138,2300,1264,1036,1293,665,628,446,183,263,172,19,153,124,71,53
50008909,6303,3252,3051,3369,1863,1506,1643,845,798,798,380,418,271,42,229,202,102,100
50008910,2938,1420,1518,1577,814,763,796,404,392,313,128,185,148,24,124,96,47,49
50008912,4203,2105,2098,2203,1183,1020,1273,648,625,444,185,259,162,18,144,112,62,50
50008913,4858,2347,2511,2630,1347,1283,1414,710,704,477,189,288,213,35,178,108,51,57
50008914,56,50,6,29,26,3,3,2,1,13,12,1,0,0,0,11,10,1
50008916,2547,1262,1285,1337,705,632,776,390,386,231,99,132,99,14,85,94,44,50
50008917,2003,1006,997,1086,567,519,550,285,265,222,98,124,89,20,69,52,32,20
50008918,4149,2089,2060,2261,1227,1034,1062,543,519,561,225,336,174,39,135,83,47,36
3065170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3170710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3170980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3172330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3172680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3249060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53821301,3280,1595,1685,1448,772,676,1249,621,628,406,169,237,159,26,133,13,5,8
53821302,38,28,10,14,11,3,12,9,3,9,6,3,2,1,1,1,1,0
53821304,37,22,15,20,12,8,10,7,3,7,3,4,0,0,0,0,0,0
53821307,36,24,12,11,7,4,14,8,6,10,8,2,1,1,0,0,0,0
53821308,7273,3580,3693,2964,1623,1341,3075,1541,1534,743,314,429,455,78,377,30,20,10
