kod_nadzsj_d,Obyvatelstvo celkem,Obyvatelstvo celkem - muži,Obyvatelstvo celkem - ženy,Obyvatelstvo - rodinný stav: svobodní  - celkem,Obyvatelstvo - rodinný stav: svobodní  - muži,Obyvatelstvo - rodinný stav: svobodní  - ženy,"Obyvatelstvo - rodinný stav: ženatí, vdané - celkem","Obyvatelstvo - rodinný stav: ženatí, vdané - muži","Obyvatelstvo - rodinný stav: ženatí, vdané - ženy",Obyvatelstvo - rodinný stav: rozvedení - celkem,Obyvatelstvo - rodinný stav: rozvedení - muži,Obyvatelstvo - rodinný stav: rozvedení - ženy,Obyvatelstvo - rodinný stav: ovdovělí - celkem,Obyvatelstvo - rodinný stav: ovdovělí - muži,Obyvatelstvo - rodinný stav: ovdovělí - ženy,Obyvatelstvo - rodinný stav: nezjištěno - celkem,Obyvatelstvo - rodinný stav: nezjištěno - muži,Obyvatelstvo - rodinný stav: nezjištěno - ženy
51327001,182,86,96,68,38,30,77,39,38,16,6,10,21,3,18,0,0,0
53350501,112,50,62,41,20,21,47,24,23,13,5,8,11,1,10,0,0,0
53350502,206,110,96,89,54,35,76,37,39,31,16,15,10,3,7,0,0,0
53351301,128,62,66,56,30,26,52,27,25,11,4,7,9,1,8,0,0,0
53351302,250,124,126,109,60,49,92,45,47,35,16,19,14,3,11,0,0,0
56470201,112,64,48,48,32,16,44,23,21,16,9,7,3,0,3,1,0,1
51328801,177,96,81,73,46,27,71,37,34,22,12,10,10,1,9,1,0,1
53352101,354,181,173,138,84,54,160,79,81,35,15,20,21,3,18,0,0,0
53352102,378,192,186,162,87,75,147,75,72,51,26,25,16,3,13,2,1,1
57163601,371,188,183,169,93,76,139,72,67,36,21,15,24,2,22,1,0,1
53353001,808,398,410,335,190,145,324,168,156,80,28,52,63,9,54,4,1,3
53353002,507,257,250,215,118,97,216,109,107,51,26,25,25,4,21,0,0,0
53355601,294,148,146,110,62,48,119,58,61,39,22,17,24,5,19,2,1,1
3309730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53357201,841,443,398,346,202,144,358,184,174,74,37,37,52,12,40,9,8,1
51342301,343,173,170,118,68,50,147,74,73,45,25,20,32,6,26,1,0,1
53764101,4195,2057,2138,1692,950,742,1641,818,823,528,231,297,321,54,267,10,2,8
53764102,539,275,264,259,142,117,196,97,99,47,25,22,33,7,26,0,0,0
53358101,60,32,28,31,19,12,18,9,9,8,3,5,3,1,2,0,0,0
53358102,90,46,44,34,21,13,38,18,20,11,5,6,7,2,5,0,0,0
53358103,1613,802,811,731,397,334,616,302,314,178,86,92,86,16,70,2,1,1
53358104,142,79,63,80,48,32,47,25,22,12,5,7,3,1,2,0,0,0
53767501,102,49,53,41,24,17,34,17,17,15,7,8,12,1,11,0,0,0
53767502,280,126,154,108,51,57,131,65,66,17,8,9,21,2,19,1,0,1
53767503,249,117,132,98,52,46,85,42,43,27,15,12,37,6,31,0,0,0
53359901,654,325,329,252,138,114,302,153,149,62,32,30,38,2,36,0,0,0
51323701,193,100,93,78,46,32,77,39,38,22,13,9,16,2,14,0,0,0
51314801,208,111,97,89,51,38,79,41,38,27,14,13,12,4,8,1,1,0
53770501,1559,761,798,637,330,307,659,336,323,152,69,83,104,22,82,7,4,3
51336901,310,154,156,134,71,63,129,66,63,30,14,16,16,2,14,1,1,0
51339301,451,221,230,189,103,86,192,95,97,44,21,23,26,2,24,0,0,0
53361101,478,255,223,240,142,98,183,91,92,40,18,22,15,4,11,0,0,0
53361102,144,69,75,75,40,35,47,23,24,17,5,12,4,1,3,1,0,1
53361103,262,127,135,127,64,63,101,48,53,22,11,11,12,4,8,0,0,0
53362901,39,18,21,16,7,9,12,6,6,10,5,5,1,0,1,0,0,0
53362902,1153,583,570,479,279,200,477,239,238,117,48,69,75,15,60,4,1,3
53363701,393,191,202,145,70,75,191,97,94,39,21,18,17,3,14,1,0,1
53364501,465,225,240,171,86,85,221,111,110,39,21,18,32,6,26,2,1,1
53364502,48,24,24,22,12,10,19,10,9,2,0,2,5,2,3,0,0,0
53365301,474,242,232,177,103,74,220,110,110,43,23,20,31,3,28,3,3,0
53365302,56,25,31,16,5,11,28,14,14,6,4,2,6,2,4,0,0,0
53365303,31,14,17,17,8,9,9,5,4,2,1,1,3,0,3,0,0,0
53774801,638,332,306,290,165,125,247,124,123,79,39,40,21,4,17,1,0,1
53366101,83,43,40,38,22,16,37,17,20,6,3,3,2,1,1,0,0,0
53366102,525,264,261,244,131,113,204,105,99,46,20,26,30,7,23,1,1,0
53369601,219,108,111,99,54,45,89,45,44,16,6,10,15,3,12,0,0,0
53370001,972,501,471,405,242,163,367,184,183,108,57,51,88,15,73,4,3,1
53370002,671,321,350,287,147,140,251,126,125,77,36,41,52,10,42,4,2,2
53372601,128,69,59,48,34,14,41,21,20,24,13,11,15,1,14,0,0,0
53372602,66,30,36,28,13,15,28,14,14,5,2,3,5,1,4,0,0,0
53372603,316,150,166,140,69,71,111,56,55,42,20,22,23,5,18,0,0,0
53788801,646,303,343,265,132,133,286,141,145,59,27,32,35,2,33,1,1,0
53373401,111,46,65,46,18,28,47,22,25,11,5,6,7,1,6,0,0,0
53373402,447,237,210,204,120,84,170,85,85,42,24,18,29,8,21,2,0,2
53374201,336,119,217,83,38,45,75,39,36,44,21,23,126,20,106,8,1,7
53374202,216,96,120,97,42,55,80,41,39,18,10,8,20,3,17,1,0,1
53375101,63,26,37,29,13,16,24,12,12,7,1,6,3,0,3,0,0,0
53375102,22,11,11,9,5,4,7,4,3,4,2,2,2,0,2,0,0,0
53375103,98,52,46,46,28,18,37,19,18,5,3,2,10,2,8,0,0,0
53375104,396,186,210,177,85,92,139,69,70,55,24,31,24,8,16,1,0,1
53376901,970,486,484,370,207,163,429,217,212,110,53,57,61,9,52,0,0,0
53377701,590,300,290,266,148,118,222,115,107,62,27,35,34,6,28,4,3,1
53378501,370,186,184,175,95,80,150,74,76,25,12,13,18,3,15,2,2,0
53378502,736,360,376,321,165,156,314,155,159,65,32,33,34,6,28,2,2,0
53380702,185,95,90,63,36,27,92,46,46,21,11,10,9,2,7,0,0,0
53380703,23,12,11,11,7,4,9,5,4,2,0,2,1,0,1,0,0,0
53380704,1657,800,857,705,373,332,637,322,315,183,87,96,126,16,110,6,2,4
53380705,225,115,110,91,52,39,92,47,45,20,13,7,22,3,19,0,0,0
53381501,144,74,70,49,32,17,69,34,35,11,3,8,13,3,10,0,0,0
53381502,200,98,102,72,41,31,88,44,44,28,12,16,12,1,11,0,0,0
53382301,239,117,122,98,51,47,94,46,48,22,14,8,20,4,16,5,2,3
53383101,2001,1043,958,776,467,309,880,461,419,188,91,97,149,18,131,8,6,2
53383102,237,125,112,104,58,46,89,44,45,29,17,12,14,5,9,1,1,0
53384001,2419,1208,1211,1015,560,455,969,488,481,257,115,142,164,38,126,10,5,5
53385802,468,238,230,188,110,78,211,105,106,46,20,26,22,2,20,1,1,0
53385803,950,453,497,405,215,190,363,182,181,93,44,49,87,10,77,2,2,0
53386601,107,51,56,47,22,25,31,15,16,14,8,6,11,2,9,2,2,0
53386602,368,178,190,156,82,74,138,69,69,51,26,25,22,1,21,1,0,1
53386604,196,108,88,87,53,34,90,45,45,15,8,7,4,2,2,0,0,0
53386605,165,80,85,77,41,36,65,32,33,13,5,8,9,1,8,1,1,0
53386606,31,16,15,14,8,6,10,5,5,6,3,3,1,0,1,0,0,0
53386607,241,118,123,110,59,51,78,40,38,33,17,16,19,2,17,1,0,1
53388201,510,257,253,218,118,100,226,114,112,51,23,28,15,2,13,0,0,0
56482601,248,122,126,89,44,45,113,58,55,31,17,14,11,2,9,3,1,2
53389101,413,209,204,211,117,94,132,66,66,48,23,25,20,3,17,2,0,2
51320201,34,18,16,9,7,2,12,7,5,5,2,3,8,2,6,0,0,0
51320202,85,50,35,33,21,12,33,18,15,14,10,4,5,1,4,0,0,0
53392101,175,94,81,80,50,30,62,31,31,14,8,6,16,3,13,1,0,1
53392102,69,52,17,52,45,7,9,4,5,6,3,3,2,0,2,0,0,0
53392103,109,51,58,42,17,25,54,28,26,13,6,7,0,0,0,0,0,0
53392104,147,70,77,72,35,37,58,28,30,12,6,6,5,1,4,0,0,0
53392105,21,12,9,9,6,3,6,3,3,2,1,1,3,1,2,0,0,0
53392106,1502,753,749,634,345,289,596,294,302,169,86,83,98,24,74,5,4,1
51326101,244,119,125,88,45,43,117,58,59,25,13,12,12,2,10,2,1,1
51316401,351,172,179,149,79,70,139,71,68,32,15,17,31,7,24,0,0,0
53803501,370,177,193,135,68,67,165,83,82,36,21,15,33,5,28,1,0,1
53803502,77,38,39,28,16,12,38,19,19,6,2,4,5,1,4,0,0,0
53394701,152,78,74,57,35,22,64,31,33,15,9,6,15,2,13,1,1,0
53394702,415,266,149,219,155,64,127,82,45,39,17,22,20,4,16,10,8,2
53394703,36,19,17,11,8,3,18,9,9,4,2,2,3,0,3,0,0,0
53394704,151,71,80,61,32,29,65,32,33,14,6,8,10,1,9,1,0,1
53394706,864,455,409,368,221,147,327,161,166,98,55,43,61,11,50,10,7,3
53394707,78,38,40,41,20,21,37,18,19,0,0,0,0,0,0,0,0,0
53136701,131,68,63,50,30,20,55,28,27,16,7,9,10,3,7,0,0,0
53111101,169,86,83,64,36,28,75,38,37,13,6,7,17,6,11,0,0,0
53397101,323,161,162,116,64,52,155,78,77,26,15,11,26,4,22,0,0,0
53397102,124,64,60,56,32,24,45,22,23,12,7,5,10,2,8,1,1,0
53397103,122,63,59,37,22,15,57,30,27,18,11,7,10,0,10,0,0,0
53096401,19,12,7,7,6,1,10,5,5,0,0,0,2,1,1,0,0,0
53398001,257,122,135,101,51,50,106,54,52,32,12,20,17,4,13,1,1,0
53398002,41,22,19,13,11,2,18,9,9,6,2,4,4,0,4,0,0,0
53398005,73,41,32,25,17,8,34,18,16,5,4,1,9,2,7,0,0,0
53398006,32,11,21,12,3,9,14,7,7,5,1,4,1,0,1,0,0,0
53398007,25,11,14,11,5,6,12,6,6,0,0,0,2,0,2,0,0,0
53083201,65,32,33,26,15,11,29,15,14,4,1,3,6,1,5,0,0,0
53083202,60,30,30,19,10,9,24,12,12,10,8,2,7,0,7,0,0,0
53128601,383,178,205,142,73,69,171,86,85,31,17,14,39,2,37,0,0,0
53399801,630,319,311,266,148,118,271,140,131,52,27,25,39,3,36,2,1,1
53399802,628,305,323,246,130,116,273,135,138,59,27,32,49,13,36,1,0,1
0183680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0183760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0184060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0184650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0184810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53400501,182,50,132,51,26,25,44,18,26,18,3,15,69,3,66,0,0,0
53400502,29,17,12,12,8,4,14,7,7,2,1,1,1,1,0,0,0,0
53400504,221,115,106,98,58,40,102,51,51,18,6,12,3,0,3,0,0,0
53400505,2294,1079,1215,938,508,430,872,441,431,311,102,209,169,25,144,4,3,1
53400506,2582,1222,1360,1121,581,540,904,458,446,367,140,227,181,39,142,7,4,3
53400507,130,65,65,61,33,28,34,18,16,24,12,12,11,2,9,0,0,0
53400508,71,37,34,29,16,13,26,13,13,11,6,5,5,2,3,0,0,0
53400509,1777,874,903,691,374,317,816,404,412,154,78,76,113,18,95,1,0,1
53400510,182,94,88,75,43,32,78,39,39,16,8,8,12,3,9,1,1,0
53400511,1532,734,798,640,369,271,508,250,258,233,90,143,147,22,125,3,2,1
53400512,260,102,158,67,37,30,85,44,41,28,13,15,78,6,72,2,2,0
53400513,894,467,427,438,258,180,261,128,133,145,70,75,44,9,35,6,2,4
52952401,33,20,13,10,7,3,16,9,7,4,4,0,3,0,3,0,0,0
0202732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53401301,96,50,46,33,19,14,49,25,24,7,4,3,7,2,5,0,0,0
53401302,51,23,28,18,10,8,21,11,10,6,1,5,6,1,5,0,0,0
53401303,91,48,43,38,22,16,29,14,15,17,9,8,7,3,4,0,0,0
53401304,61,35,26,23,16,7,25,12,13,9,7,2,4,0,4,0,0,0
53401305,22,13,9,6,4,2,8,4,4,5,4,1,3,1,2,0,0,0
53401306,47,26,21,16,10,6,21,10,11,6,4,2,4,2,2,0,0,0
53401308,27,13,14,9,5,4,14,7,7,1,0,1,2,1,1,1,0,1
53402101,506,255,251,189,112,77,215,110,105,49,23,26,52,10,42,1,0,1
53402104,32,16,16,14,6,8,12,6,6,5,4,1,1,0,1,0,0,0
53402105,43,21,22,19,11,8,18,9,9,3,1,2,3,0,3,0,0,0
53402106,60,30,30,19,10,9,27,13,14,9,6,3,5,1,4,0,0,0
53403001,50,23,27,18,11,7,20,10,10,4,1,3,8,1,7,0,0,0
53403002,144,71,73,61,35,26,49,25,24,18,9,9,16,2,14,0,0,0
53403003,53,27,26,20,9,11,29,15,14,3,3,0,1,0,1,0,0,0
53403004,28,18,10,10,8,2,15,8,7,3,2,1,0,0,0,0,0,0
53403005,45,23,22,12,7,5,24,12,12,6,4,2,3,0,3,0,0,0
53403006,78,36,42,40,20,20,22,11,11,10,5,5,6,0,6,0,0,0
53403007,27,19,8,12,9,3,7,4,3,5,5,0,3,1,2,0,0,0
52955902,118,62,56,47,26,21,51,24,27,5,4,1,12,5,7,3,3,0
53126001,99,50,49,31,17,14,51,25,26,9,6,3,8,2,6,0,0,0
53134101,383,186,197,139,77,62,167,84,83,41,20,21,36,5,31,0,0,0
53119701,575,291,284,234,133,101,268,133,135,37,20,17,33,4,29,2,0,2
53119702,52,27,25,20,12,8,26,14,12,3,1,2,3,0,3,0,0,0
53143001,37,19,18,13,8,5,18,9,9,1,0,1,5,2,3,0,0,0
53143002,131,66,65,50,29,21,46,23,23,22,14,8,13,0,13,0,0,0
53143003,214,109,105,74,43,31,111,56,55,10,6,4,19,4,15,0,0,0
0420480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53405601,41,23,18,10,8,2,24,12,12,5,2,3,2,1,1,0,0,0
53405602,38,21,17,10,8,2,22,11,11,2,2,0,4,0,4,0,0,0
53405603,23,8,15,3,1,2,11,6,5,8,1,7,1,0,1,0,0,0
53405604,206,101,105,69,37,32,104,51,53,17,11,6,16,2,14,0,0,0
53405605,75,36,39,31,14,17,35,18,17,7,4,3,2,0,2,0,0,0
53135901,380,187,193,156,87,69,151,74,77,37,20,17,35,5,30,1,1,0
53148101,179,88,91,58,35,23,84,43,41,19,9,10,18,1,17,0,0,0
53406401,245,134,111,110,67,43,83,42,41,30,17,13,21,8,13,0,0,0
53141301,103,54,49,36,25,11,44,22,22,10,6,4,13,1,12,0,0,0
53408102,96,45,51,33,16,17,38,20,18,16,9,7,9,0,9,0,0,0
53408103,144,75,69,52,30,22,61,31,30,12,7,5,14,3,11,3,2,1
0724271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53409901,329,169,160,147,81,66,129,65,64,37,22,15,16,1,15,0,0,0
53409902,36,17,19,10,6,4,19,9,10,3,1,2,4,1,3,0,0,0
53409903,58,31,27,17,10,7,20,10,10,11,8,3,9,2,7,1,1,0
53409904,81,40,41,29,14,15,35,18,17,9,4,5,8,4,4,0,0,0
53409905,49,28,21,16,11,5,24,12,12,5,3,2,4,2,2,0,0,0
53409906,36,16,20,15,9,6,10,6,4,8,1,7,3,0,3,0,0,0
53409907,24,14,10,6,5,1,10,5,5,6,3,3,2,1,1,0,0,0
53409908,25,14,11,10,7,3,9,4,5,4,3,1,2,0,2,0,0,0
53409909,92,44,48,36,17,19,37,19,18,11,5,6,8,3,5,0,0,0
53410201,761,402,359,319,193,126,327,165,162,66,34,32,49,10,39,0,0,0
53412903,577,290,287,231,129,102,256,127,129,49,27,22,39,6,33,2,1,1
53412904,59,31,28,28,16,12,20,10,10,5,4,1,5,1,4,1,0,1
53412906,68,36,32,27,16,11,29,14,15,6,5,1,6,1,5,0,0,0
53412907,49,27,22,23,15,8,20,11,9,2,1,1,4,0,4,0,0,0
53412908,43,19,24,16,8,8,20,10,10,3,1,2,4,0,4,0,0,0
53413701,375,200,175,169,99,70,149,75,74,38,20,18,19,6,13,0,0,0
53413702,73,42,31,26,17,9,36,19,17,6,4,2,5,2,3,0,0,0
53413703,81,36,45,33,16,17,36,17,19,5,3,2,7,0,7,0,0,0
53413704,29,13,16,10,5,5,15,7,8,2,1,1,2,0,2,0,0,0
53140501,210,98,112,88,42,46,81,40,41,30,15,15,11,1,10,0,0,0
55146501,61,28,33,31,16,15,22,11,11,1,1,0,7,0,7,0,0,0
53415302,59,28,31,17,11,6,32,16,16,2,1,1,8,0,8,0,0,0
53415303,361,166,195,141,62,79,156,78,78,35,18,17,28,7,21,1,1,0
53416101,20,9,11,7,4,3,10,5,5,1,0,1,2,0,2,0,0,0
53416102,84,38,46,39,19,20,27,15,12,11,4,7,7,0,7,0,0,0
53416103,47,27,20,18,13,5,23,12,11,2,2,0,4,0,4,0,0,0
53416104,36,19,17,20,11,9,12,7,5,2,1,1,2,0,2,0,0,0
53416105,506,259,247,215,121,94,224,114,110,41,20,21,25,4,21,1,0,1
0778101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0778610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0779330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0779500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0780002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3210950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3228062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3228063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53395501,113,63,50,53,32,21,47,26,21,5,3,2,8,2,6,0,0,0
53395502,1236,598,638,526,303,223,417,215,202,186,59,127,94,12,82,12,9,3
53395503,1130,552,578,482,253,229,466,231,235,126,58,68,49,7,42,7,3,4
53395504,2337,1059,1278,1005,511,494,720,364,356,385,135,250,211,37,174,16,12,4
53395506,309,136,173,161,81,80,82,42,40,53,12,41,13,1,12,0,0,0
53395507,31,18,13,13,8,5,4,3,1,8,5,3,6,2,4,0,0,0
53395508,221,111,110,92,46,46,98,51,47,20,12,8,11,2,9,0,0,0
53395510,1393,682,711,518,291,227,582,290,292,162,78,84,128,21,107,3,2,1
53395511,1730,830,900,610,335,275,778,387,391,182,85,97,156,22,134,4,1,3
53395512,22,12,10,10,7,3,8,3,5,4,2,2,0,0,0,0,0,0
53395514,24,14,10,10,5,5,10,5,5,3,3,0,1,1,0,0,0,0
53395515,628,324,304,274,155,119,251,129,122,68,32,36,32,8,24,1,0,1
53395516,25,20,5,10,10,0,8,6,2,4,2,2,1,1,0,2,1,1
53395519,187,91,96,78,40,38,78,39,39,20,9,11,11,3,8,0,0,0
53395520,52,28,24,14,8,6,23,12,11,9,6,3,5,1,4,1,1,0
53395522,164,81,83,95,48,47,45,22,23,16,9,7,8,2,6,0,0,0
53395523,1025,496,529,402,216,186,416,212,204,122,45,77,77,18,59,7,5,2
53395526,113,65,48,57,42,15,39,20,19,16,2,14,0,0,0,1,1,0
53395527,785,393,392,312,177,135,318,160,158,92,44,48,62,11,51,1,1,0
53395528,28,14,14,14,7,7,14,7,7,0,0,0,0,0,0,0,0,0
53395529,991,490,501,393,214,179,427,211,216,117,54,63,52,10,42,2,1,1
53395530,737,382,355,350,205,145,192,102,90,116,64,52,72,6,66,6,5,1
53395531,632,313,319,288,155,133,225,115,110,81,36,45,33,3,30,4,3,1
53395532,1446,814,632,756,459,297,377,195,182,233,141,92,71,14,57,9,5,4
53395533,2979,1456,1523,1161,662,499,1125,559,566,458,182,276,211,39,172,22,12,10
53395534,1306,626,680,560,300,260,474,237,237,180,73,107,82,12,70,9,3,6
53395535,154,67,87,55,24,31,45,24,21,39,17,22,14,1,13,1,1,0
53395536,62,30,32,31,15,16,22,11,11,5,3,2,4,1,3,0,0,0
53395537,174,88,86,63,33,30,87,45,42,16,9,7,7,1,6,1,0,1
53395538,128,61,67,70,39,31,31,15,16,20,7,13,6,0,6,1,0,1
53417001,219,119,100,93,62,31,82,43,39,23,8,15,19,4,15,2,2,0
53418801,865,427,438,356,185,171,374,186,188,79,45,34,54,10,44,2,1,1
53418802,45,22,23,20,11,9,13,7,6,9,4,5,3,0,3,0,0,0
53418804,57,30,27,20,13,7,21,10,11,11,7,4,5,0,5,0,0,0
53418805,46,21,25,16,9,7,16,7,9,6,3,3,8,2,6,0,0,0
53420001,64,33,31,27,17,10,23,11,12,11,4,7,3,1,2,0,0,0
53420002,158,81,77,69,36,33,63,32,31,18,12,6,8,1,7,0,0,0
53420003,83,43,40,44,21,23,30,15,15,7,5,2,2,2,0,0,0,0
53420004,49,23,26,22,11,11,22,11,11,4,1,3,1,0,1,0,0,0
53420005,403,194,209,170,89,81,149,74,75,54,23,31,30,8,22,0,0,0
53420006,386,195,191,173,93,80,163,82,81,34,18,16,15,1,14,1,1,0
53099901,390,194,196,154,80,74,173,87,86,34,18,16,23,6,17,6,3,3
53422602,44,19,25,13,6,7,21,10,11,4,2,2,5,0,5,1,1,0
53422603,158,80,78,70,41,29,64,32,32,12,7,5,11,0,11,0,0,0
53424201,830,433,397,346,206,140,343,176,167,80,41,39,57,7,50,3,2,1
53424202,21,12,9,15,11,4,3,1,2,0,0,0,3,0,3,0,0,0
53425101,192,97,95,79,46,33,92,48,44,9,3,6,12,0,12,0,0,0
1113251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53427701,56,31,25,22,13,9,29,15,14,2,2,0,3,1,2,0,0,0
53427702,56,27,29,22,11,11,22,11,11,4,3,1,8,2,6,0,0,0
53427703,174,94,80,90,53,37,56,29,27,22,10,12,6,2,4,0,0,0
53427704,24,10,14,6,1,5,14,7,7,3,2,1,1,0,1,0,0,0
53095601,140,75,65,47,28,19,64,34,30,25,13,12,4,0,4,0,0,0
53127801,210,101,109,88,50,38,93,46,47,12,3,9,16,1,15,1,1,0
53430702,38,22,16,11,8,3,23,12,11,2,1,1,2,1,1,0,0,0
53430703,21,13,8,9,7,2,6,3,3,2,2,0,4,1,3,0,0,0
53430705,91,51,40,26,20,6,47,24,23,7,4,3,10,2,8,1,1,0
53431503,209,108,101,68,39,29,101,51,50,26,15,11,14,3,11,0,0,0
53431504,35,15,20,11,5,6,11,6,5,7,3,4,6,1,5,0,0,0
53431505,49,21,28,15,6,9,24,13,11,4,2,2,6,0,6,0,0,0
53432301,25,16,9,13,10,3,11,6,5,1,0,1,0,0,0,0,0,0
53432302,24,11,13,7,2,5,14,7,7,0,0,0,3,2,1,0,0,0
53432303,20,8,12,8,4,4,9,4,5,0,0,0,3,0,3,0,0,0
53432304,34,15,19,12,5,7,19,10,9,1,0,1,2,0,2,0,0,0
53432305,23,10,13,9,5,4,10,5,5,1,0,1,3,0,3,0,0,0
53432306,39,19,20,21,11,10,13,7,6,1,0,1,4,1,3,0,0,0
52819601,24,13,11,8,5,3,12,6,6,3,2,1,1,0,1,0,0,0
52819602,147,75,72,56,31,25,60,30,30,15,8,7,15,5,10,1,1,0
52819603,23,12,11,6,3,3,10,5,5,5,4,1,2,0,2,0,0,0
52819604,21,13,8,7,5,2,10,5,5,2,2,0,2,1,1,0,0,0
53433101,620,290,330,243,115,128,262,131,131,68,34,34,45,9,36,2,1,1
53434001,191,94,97,74,40,34,74,36,38,23,15,8,20,3,17,0,0,0
53434002,39,21,18,15,11,4,13,7,6,5,2,3,6,1,5,0,0,0
53434003,90,45,45,37,20,17,30,15,15,17,10,7,6,0,6,0,0,0
53434004,80,36,44,35,14,21,31,15,16,10,5,5,3,1,2,1,1,0
53435801,44,26,18,13,11,2,20,10,10,7,4,3,4,1,3,0,0,0
53435802,29,14,15,9,5,4,11,6,5,3,2,1,6,1,5,0,0,0
53435803,55,28,27,24,15,9,22,11,11,3,1,2,6,1,5,0,0,0
53435804,428,231,197,190,119,71,155,79,76,52,26,26,31,7,24,0,0,0
52662201,336,174,162,132,80,52,146,73,73,32,18,14,26,3,23,0,0,0
53436601,91,49,42,29,20,9,46,23,23,7,5,2,9,1,8,0,0,0
53436602,29,16,13,13,7,6,10,6,4,5,3,2,1,0,1,0,0,0
53436603,39,18,21,17,7,10,15,9,6,6,2,4,1,0,1,0,0,0
53436604,56,27,29,20,11,9,20,10,10,9,5,4,7,1,6,0,0,0
53437402,45,23,22,8,4,4,22,11,11,10,7,3,5,1,4,0,0,0
53437403,91,32,59,15,11,4,15,9,6,23,8,15,37,4,33,1,0,1
53437404,77,37,40,29,14,15,33,17,16,9,4,5,6,2,4,0,0,0
53437405,50,28,22,14,9,5,28,14,14,6,4,2,2,1,1,0,0,0
53085901,276,137,139,112,60,52,115,60,55,26,12,14,23,5,18,0,0,0
53138301,85,42,43,36,19,17,31,16,15,10,5,5,8,2,6,0,0,0
53439101,91,50,41,34,23,11,35,17,18,19,10,9,3,0,3,0,0,0
53439102,64,35,29,28,17,11,23,12,11,9,6,3,4,0,4,0,0,0
53429301,66,31,35,24,11,13,29,15,14,5,4,1,8,1,7,0,0,0
53429302,114,61,53,42,24,18,42,23,19,18,12,6,12,2,10,0,0,0
53106501,141,63,78,60,31,29,52,25,27,15,4,11,13,2,11,1,1,0
53441201,41,21,20,17,10,7,18,9,9,2,1,1,4,1,3,0,0,0
53441202,51,25,26,14,9,5,27,14,13,4,1,3,6,1,5,0,0,0
53441203,47,24,23,20,13,7,18,9,9,3,2,1,5,0,5,1,0,1
53441204,94,49,45,44,29,15,32,15,17,9,3,6,9,2,7,0,0,0
53441205,26,11,15,9,3,6,14,7,7,1,1,0,2,0,2,0,0,0
53087501,140,81,59,51,38,13,61,31,30,16,9,7,11,2,9,1,1,0
53139101,73,32,41,29,13,16,27,13,14,6,4,2,11,2,9,0,0,0
53443901,199,106,93,80,49,31,90,47,43,12,6,6,15,3,12,2,1,1
53443902,51,27,24,22,13,9,24,12,12,3,1,2,2,1,1,0,0,0
53443903,78,40,38,29,15,14,39,19,20,6,4,2,4,2,2,0,0,0
53443904,672,348,324,243,144,99,311,157,154,60,33,27,56,13,43,1,0,1
53443905,72,37,35,29,16,13,26,13,13,12,8,4,5,0,5,0,0,0
53419601,298,144,154,124,61,63,115,57,58,34,23,11,25,3,22,0,0,0
53419602,443,219,224,183,96,87,184,92,92,43,23,20,31,7,24,1,0,1
53419603,36,15,21,12,4,8,16,8,8,7,3,4,1,0,1,0,0,0
53419604,104,52,52,40,19,21,46,23,23,14,9,5,4,1,3,0,0,0
53142101,94,42,52,43,18,25,39,20,19,5,3,2,7,1,6,0,0,0
53093001,133,61,72,58,30,28,48,24,24,12,5,7,15,2,13,0,0,0
53098101,282,137,145,141,75,66,94,48,46,26,12,14,20,2,18,1,0,1
53097201,34,18,16,12,8,4,18,9,9,3,1,2,1,0,1,0,0,0
53097203,87,46,41,29,19,10,39,19,20,9,7,2,10,1,9,0,0,0
57174101,139,75,64,51,32,19,62,31,31,20,11,9,5,0,5,1,1,0
53448001,640,330,310,259,157,102,267,133,134,65,30,35,48,10,38,1,0,1
53449802,22,12,10,7,3,4,11,6,5,1,1,0,3,2,1,0,0,0
53449803,69,40,29,31,22,9,22,11,11,11,6,5,5,1,4,0,0,0
53449804,32,14,18,14,6,8,15,7,8,2,1,1,1,0,1,0,0,0
53449806,35,19,16,17,10,7,17,9,8,0,0,0,1,0,1,0,0,0
53449807,83,45,38,32,20,12,44,22,22,6,3,3,1,0,1,0,0,0
53449808,2830,1394,1436,1060,618,442,1162,580,582,299,152,147,294,37,257,10,2,8
