Column Names;use
;
NUTS_2;
naz_oblast;
NUTS_3;
naz_kraj;
kod_okres;
naz_okres;
kod_orp;
naz_orp;
kod_obec;
naz_obec;
kod_mco;
nazev_mco;
nadzsjd;
Obydlené byty v domech celkem - způsob vytápění: ústřední (dálkové);0
Obydlené byty v rodinných domech - způsob vytápění: ústřední (dálkové);0
Obydlené byty v bytových domech - způsob vytápění: ústřední (dálkové);0
Počet osob v bytech celkem  - způsob vytápění: ústřední (dálkové);0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední (dálkové);0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední (dálkové);0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní;0
Obydlené byty v rodinných domech - způsob vytápění:  ústřední domovní;0
Obydlené byty v bytových domech - způsob vytápění:  ústřední domovní;0
Počet osob v bytech celkem  - způsob vytápění: ústřední  domovní;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední  domovní;0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v bytových domech - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech celkem  - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední domovní - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v bytových domech - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech celkem  - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední domovní - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Obydlené byty v bytových domech - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Počet osob v bytech celkem  - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední domovní - používaná energie: plyn;0
Obydlené byty v domech celkem - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Obydlené byty v bytových domech - způsob vytápění: ústřední domovní -  používaná energie: elektřina;0
Počet osob v bytech celkem  - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední domovní - používaná energie: elektřina;0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě);0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: plyn;0
Obydlené byty v domech celkem - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Obydlené byty v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Obydlené byty v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Počet osob v bytech celkem  - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Počet osob v bytech v rodinných domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Počet osob v bytech v bytových domech - způsob vytápění: ústřední s vlastním zdrojem (v bytě) - používaná energie: elektřina;0
Obydlené byty v domech celkem - způsob vytápění: kamna;0
Obydlené byty v rodinných domech - způsob vytápění: kamna;0
Obydlené byty v bytových domech - způsob vytápění: kamna;0
Počet osob v bytech celkem  - způsob vytápění: kamna;0
Počet osob v bytech v rodinných domech - způsob vytápění: kamna;0
Počet osob v bytech v bytových domech - způsob vytápění: kamna;0
Obydlené byty v domech celkem - způsob vytápění: kamna - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v rodinných domech - způsob vytápění: kamna - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v bytových domech - způsob vytápění: kamna - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech celkem  - způsob vytápění: kamna - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v rodinných domech - způsob vytápění: kamna - používaná energie: uhlí, koks, uhelné brikety;0
Počet osob v bytech v bytových domech - způsob vytápění: kamna - používaná energie: uhlí, koks, uhelné brikety;0
Obydlené byty v domech celkem - způsob vytápění: kamna - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v rodinných domech - způsob vytápění: kamna - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v bytových domech - způsob vytápění: kamna - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech celkem  - způsob vytápění: kamna - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v rodinných domech - způsob vytápění: kamna - používaná energie: dřevo, dřevěné pelety;0
Počet osob v bytech v bytových domech - způsob vytápění: kamna - používaná energie: dřevo, dřevěné pelety;0
Obydlené byty v domech celkem - způsob vytápění: kamna - používaná energie: plyn;0
Obydlené byty v rodinných domech - způsob vytápění: kamna - používaná energie: plyn;0
Obydlené byty v bytových domech - způsob vytápění: kamna - používaná energie: plyn;0
Počet osob v bytech celkem  - způsob vytápění: kamna - používaná energie: plyn;0
Počet osob v bytech v rodinných domech - způsob vytápění: kamna - používaná energie: plyn;0
Počet osob v bytech v bytových domech - způsob vytápění: kamna - používaná energie: plyn;0
Obydlené byty v domech celkem - způsob vytápění: kamna - používaná energie: elektřina;0
Obydlené byty v rodinných domech - způsob vytápění: kamna - používaná energie: elektřina;0
Obydlené byty v bytových domech - způsob vytápění: kamna - používaná energie: elektřina;0
Počet osob v bytech celkem  - způsob vytápění: kamna - používaná energie: elektřina;0
Počet osob v bytech v rodinných domech - způsob vytápění: kamna - používaná energie: elektřina;0
Počet osob v bytech v bytových domech - způsob vytápění: kamna - používaná energie: elektřina;0
nuts_2_regs;
nazev_regionu_soudrznosti;
nuts3_kraj;
nazev_kraje;
kod_okres;
nazev_okresu;
kod_orp;
nazev_orp;
kod_obec;
nazev_obec;
kod_mco;
nazev_mco;
nadzsjd;
Zaměstnaní celkem;0
Zaměstnaní - Zaměstnanci v ozbrojených silách;0
Zaměstnaní - Zákonodárci a řídící pracovníci;0
Zaměstnaní - Specialisté;0
Zaměstnaní - Techničtí a odborní pracovníci;0
Zaměstnaní - Úředníci;0
Zaměstnaní - Pracovníci ve službách a prodeji;0
Zaměstnaní - Kvalifikovaní pracovníci v zemědělství,lesnictví a rybářství;0
Zaměstnaní - Řemeslníci a opraváři;0
Zaměstnaní - Obsluha strojů a zařízení, montéři;0
Zaměstnaní - Pomocní a nekvalifikovaní pracovníci;0
Zaměstnaní - nezjištěno;0
Zaměstnaní muži;0
Zaměstnaní - Zaměstnanci v ozbrojených silách - muži;0
Zaměstnaní - Zákonodárci a řídící pracovníci - muži;0
Zaměstnaní - Specialisté - muži;0
Zaměstnaní - Techničtí a odborní pracovníci - muži;0
Zaměstnaní - Úředníci - muži;0
Zaměstnaní - Pracovníci ve službách a prodeji - muži;0
Zaměstnaní - Kvalifikovaní pracovníci v zemědělství,lesnictví a rybářství - muži;0
Zaměstnaní - Řemeslníci a opraváři - muži;0
Zaměstnaní - Obsluha strojů a zařízení, montéři - muži;0
Zaměstnaní - Pomocní a nekvalifikovaní pracovníci - muži;0
Zaměstnaní - nezjištěno - muži;0
Zaměstnaní ženy;0
Zaměstnaní - Zaměstnanci v ozbrojených silách - ženy;0
Zaměstnaní - Zákonodárci a řídící pracovníci - ženy;0
Zaměstnaní - Specialisté - ženy;0
Zaměstnaní - Techničtí a odborní pracovníci - ženy;0
Zaměstnaní - Úředníci - ženy;0
Zaměstnaní - Pracovníci ve službách a prodeji - ženy;0
Zaměstnaní - Kvalifikovaní pracovníci v zemědělství,lesnictví a rybářství - ženy;0
Zaměstnaní - Řemeslníci a opraváři - ženy;0
Zaměstnaní - Obsluha strojů a zařízení, montéři - ženy;0
Zaměstnaní - Pomocní a nekvalifikovaní pracovníci - ženy;0
Zaměstnaní - nezjištěno - ženy;0
NUTS_2;
naz_oblast;
NUTS_3;
naz_kraj;
kod_okres;
naz_okres;
kod_orp;
naz_orp;
kod_obec;
naz_obec;
kod_mco;
nazev_mco;
nadzsjd;
Obyvatelstvo celkem;1
Obyvatelstvo celkem - muži;0
Obyvatelstvo celkem - ženy;0
Obyvatelstvo - rodinný stav: svobodní  - celkem;1
Obyvatelstvo - rodinný stav: svobodní  - muži;0
Obyvatelstvo - rodinný stav: svobodní  - ženy;0
Obyvatelstvo - rodinný stav: ženatí, vdané - celkem;1
Obyvatelstvo - rodinný stav: ženatí, vdané - muži;0
Obyvatelstvo - rodinný stav: ženatí, vdané - ženy;0
Obyvatelstvo - rodinný stav: rozvedení - celkem;1
Obyvatelstvo - rodinný stav: rozvedení - muži;0
Obyvatelstvo - rodinný stav: rozvedení - ženy;0
Obyvatelstvo - rodinný stav: ovdovělí - celkem;1
Obyvatelstvo - rodinný stav: ovdovělí - muži;0
Obyvatelstvo - rodinný stav: ovdovělí - ženy;0
Obyvatelstvo - rodinný stav: nezjištěno - celkem;1
Obyvatelstvo - rodinný stav: nezjištěno - muži;0
Obyvatelstvo - rodinný stav: nezjištěno - ženy;0
NUTS_2;
naz_oblast;
NUTS_3;
naz_kraj;
kod_okres;
naz_okres;
kod_orp;
naz_orp;
kod_obec;
naz_obec;
kod_mco;
nazev_mco;
nadzsjd;
Obyvatelstvo - věk: 15 a více - celkem;0
Obyvatelstvo - věk: 15 a více - muži;0
Obyvatelstvo - věk: 15 a více - ženy;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: bez vzdělání, neúplné vzdělání, základní vzdělání - celkem;1
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: bez vzdělání, neúplné vzdělání, základní vzdělání - muži;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: bez vzdělání, neúplné vzdělání, základní vzdělání - ženy;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: - střední vč. vyučení bez maturity - celkem;1
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: - střední vč. vyučení bez maturity - muži;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: - střední vč. vyučení bez maturity - ženy;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: - střední s maturitou vč. nástavbového a pomaturitního - celkem;1
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: - střední s maturitou vč. nástavbového a pomaturitního - muži;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: - střední s maturitou vč. nástavbového a pomaturitního - ženy;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: VOŠ a konzervatoř - celkem;1
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: VOŠ a konzervatoř - muži;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: VOŠ a konzervatoř - ženy;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání:  vysokoškolské - celkem;1
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání:  vysokoškolské - muži;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání:  vysokoškolské- ženy;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: nezjištěno - celkem;1
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: nezjištěno - muži;0
Obyvatelstvo - věk: 15 a více - nejvyšší dosažené vzdělání: nezjištěno - ženy;0
NUTS_2;
naz_oblast;
NUTS_3;
naz_kraj;
kod_okres;
naz_okres;
kod_orp;
naz_orp;
kod_obec;
naz_obec;
kod_mco;
nazev_mco;
nadzsjd;
Obyvatelstvo - zaměstnaní - celkem;0
Obyvatelstvo - zaměstnaní - muži;0
Obyvatelstvo - zaměstnaní - ženy;0
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: zemědělství, lesnictví ,rybářství - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: průmysl - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: stavebnictví - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: velkoobchod a maloobchod, opravy a údržba motorových vozidel - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: doprava a skladování - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: ubytování, stravování a pohostinství - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: informační a komunikační činnosti - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: peněžnictví a pojišťovnictví - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: činnosti v oblasti nemovitostí, profesní, věd. a tech. činnosti a administr. a podpůrné činnosti - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: veřejná správa a obrana, povinné sociální zabezpečení - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: vzdělávání - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: zdravotní a sociální péče - celkem;1
Obyvatelstvo - zaměstnaní - odvětví ekon.čin.: nezjištěno - celkem;1
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: bez vzdělání,základní vč. nedokončeného - celkem;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: bez vzdělání,základní vč. nedokončeného - muži;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: bez vzdělání,základní vč. nedokončeného - ženy;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: střední vč. vyučení (bez maturity) - celkem;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: střední vč. vyučení (bez maturity) - muži;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: střední vč. vyučení (bez maturity) - ženy;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: úplné střední (s maturitou), nástavbové, pomaturitní - celkem;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: úplné střední (s maturitou), nástavbové, pomaturitní - muži;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: úplné střední (s maturitou), nástavbové, pomaturitní - ženy;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vyšší odborné. konzervatoř - celkem;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vyšší odborné¨, konzervatoř - muži;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vyšší odborné, konzervatoř - ženy;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vysokoškolské - celkem;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vysokoškolské - muži;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: vysokoškolské - ženy;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: nezjištěno - celkem;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: nezjištěno - muži;0
Obyvatelstvo - zaměstnaní - nejvyšší dosažené vzdělání: nezjištěno - ženy;0
NUTS_2;
naz_oblast;
NUTS_3;
naz_kraj;
kod_okres;
naz_okres;
kod_orp;
naz_orp;
kod_obec;
naz_obec;
kod_mco;
nazev_mco;
nadzsjd;
Byty v domech celkem;0
Byty v rodinných domech;0
Byty  v bytových domech;0
Obydlené  byty v domech celkem;0
Obydlené byty v rodinných domech;0
Obydlené byty v bytových domech;0
Počet osob v bytech celkem;0
Počet osob v bytech v rodinných domech;0
Počet osob v bytech v bytových domech;0
Obydlené byty v domech celkem - právní důvod užívání bytu: ve vlastním domě;0
Obydlené byty v rodinných domech - právní důvod užívání bytu: ve vlastním domě;0
Obydlené byty v bytových domech - právní důvod užívání bytu: ve vlastním domě;0
Počet osob v bytech celkem  s právním důvodem užívání: ve vlastním domě;1
Počet osob v bytech v rodinných domech - právní užívání bytu: ve vlastním domě;0
Počet osob v bytech v bytových domech - právní užívání bytu: ve vlastním domě;0
Obydlené byty v domech celkem - právní důvod užívání bytu: v osobním vlastnictví;0
Obydlené byty v rodinných domech - právní důvod užívání bytu: v osobním vlastnictví;0
Obydlené byty v bytových domech - právní důvod užívání bytu: v osobním vlastnictví;0
Počet osob v bytech celkem  s právním důvodem užívání: v osobním vlastnictví;1
Počet osob v bytech v rodinných domech - právní užívání bytu: v osobním vlastnictví;0
